0,R,0
0,R,1
0,R,2
0,R,3
1,R,16
1,R,17
1,R,18
1,R,19
2,R,32
2,R,33
2,R,34
2,R,35
3,R,48
3,R,49
3,R,50
3,R,51
0,R,0
0,R,1
0,R,2
0,R,3
1,R,16
1,R,17
1,R,18
1,R,19
2,R,32
2,R,33
2,R,34
2,R,35
3,R,48
3,R,49
3,R,50
3,R,51
0,R,0
0,R,1
0,R,2
0,R,3
1,R,16
1,R,17
1,R,18
1,R,19
2,R,32
2,R,33
2,R,34
2,R,35
3,R,48
3,R,49
3,R,50
3,R,51
0,R,0
0,R,1
0,R,2
0,R,3
1,R,16
1,R,17
1,R,18
1,R,19
2,R,32
2,R,33
2,R,34
2,R,35
3,R,48
3,R,49
3,R,50
3,R,51
0,R,0
0,R,1
0,R,2
0,R,3
1,R,16
1,R,17
1,R,18
1,R,19
2,R,32
2,R,33
2,R,34
2,R,35
3,R,48
3,R,49
3,R,50
3,R,51
0,R,0
0,R,1
0,R,2
0,R,3
1,R,16
1,R,17
1,R,18
1,R,19
2,R,32
2,R,33
2,R,34
2,R,35
3,R,48
3,R,49
3,R,50
3,R,51
0,R,0
0,R,1
0,R,2
0,R,3
1,R,16
1,R,17
1,R,18
1,R,19
2,R,32
2,R,33
2,R,34
2,R,35
3,R,48
3,R,49
3,R,50
3,R,51
0,R,0
0,R,1
0,R,2
0,R,3
1,R,16
1,R,17
1,R,18
1,R,19
2,R,32
2,R,33
2,R,34
2,R,35
3,R,48
3,R,49
3,R,50
3,R,51
0,R,0
0,R,1
0,R,2
0,R,3
1,R,16
1,R,17
1,R,18
1,R,19
2,R,32
2,R,33
2,R,34
2,R,35
3,R,48
3,R,49
3,R,50
3,R,51
0,R,0
0,R,1
0,R,2
0,R,3
1,R,16
1,R,17
1,R,18
1,R,19
2,R,32
2,R,33
2,R,34
2,R,35
3,R,48
3,R,49
3,R,50
3,R,51
0,R,0
0,R,1
0,R,2
0,R,3
1,R,16
1,R,17
1,R,18
1,R,19
2,R,32
2,R,33
2,R,34
2,R,35
3,R,48
3,R,49
3,R,50
3,R,51
0,R,0
0,R,1
0,R,2
0,R,3
1,R,16
1,R,17
1,R,18
1,R,19
2,R,32
2,R,33
2,R,34
2,R,35
3,R,48
3,R,49
3,R,50
3,R,51
0,R,0
0,R,1
0,R,2
0,R,3
1,R,16
1,R,17
1,R,18
1,R,19
2,R,32
2,R,33
2,R,34
2,R,35
3,R,48
3,R,49
3,R,50
3,R,51
0,R,0
0,R,1
